bert,hashtags,tweet_id,media,links,domains,type,language,timestamp,EWUF_user_id,EWUF_follower_count,EWUF_following_count,EWUF_verified,EWUF_account_creation,EUF_user_id,EUF_follower_count,EUF_following_count,EUF_verified,EUF_account_creation,engagee_follows_engager,replay_timestamp,retweet_timestamp,retweet_comment_timestamp,like_timestamp,EUF_num_users,EUF_f01_replay,EUF_f01_retweet,EUF_f01_retweet_comment,EUF_f01_like,EWUF_num_users,EWUF_f01_replay,EWUF_f01_retweet,EWUF_f01_retweet_comment,EWUF_f01_like,engagedRTWC,engagedLIKE,engagedREPLAY,engagedRTW,num_lang_react
101	17101	11340	106	108	20511	10107	108	11940	13207	10253	108	53121	13207	10253	119	14539	10336	10155	11641	10113	14120	131	120	120	188	119	11170	120	140	10686	11281	21428	11565	11011	11703	10305	11369	102,5C7B70D5475D0540BCEF25B9123A5EEB	3BF7D9D7C02E82D096A0ED2B5DA8821D	F535D65CDBAA7D7053264CC492C39D0D,D9C4AFB1F636631A3AAEA648EF07CAA3,Photo,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305420,BBEF2DDBDB76958456B6D45AF2717F02,2455,1,False,1545096399,CA56026AB19D576BD33E0673968F3E4C,8,328,False,1526948668,False,,,,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.5,0,0,0,0,1
101	20452	14956	10162	146	73338	31237	146	11850	10957	10380	13172	102,,DBF06636A5432A54574094323E27A795,,,,Quote,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305201,44E28CFD795902469D057B8B6A978815,12820,196,False,1237217140,01D9D5D728F62D575BBF588817A807D5,7,16,False,1542402534,False,,,,,67.0,0.01492537313432836,0.11940298507462685,0.0,0.4029850746268657,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	56898	137	23005	11747	52465	11142	31002	131	10266	10380	101003	10108	49462	10305	100	102,,4E89D50B54A56EBAA145D1FCAD4382DF,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306759,2F039910DD8516B60FD6E3353F7FA8CC,1227,932,False,1474017125,4E3D550DF0FDA1649AB2606098906D18,92,209,False,1562716990,True,,,,,3.0,0.0,0.0,0.0,0.3333333333333333,,,,,,0,0,0,0,0
101	56898	137	42780	26122	18237	10165	10129	131	10105	42230	14488	10491	29079	22464	27521	10134	96622	10111	29815	119	108	10233	100	14120	131	120	120	188	119	11170	120	127	11703	11305	15417	11166	11281	12022	10129	10738	11403	102,,B115B2C9787A8A0293B5BDFA240CFF6E,Photo	Photo	Photo	Photo,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306062,2EC602C7C81B4267C8D4322880A3056E,406,308,False,1423775353,2B641CE67EAEC3E1744FCCE9492F543F,121,104,False,1508015510,True,,,,,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,1
101	56898	137	42492	101764	18180	14497	10138	131	10124	10189	10472	12820	14170	18247	102,,EF5A87796FF3E2A383E4D32BBD43D17A,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305205,A0937655D5D26D4A867F450C27126543,18018,5482,False,1249263355,E277ED64C8DF8A2280B327EFFF22D912,162,857,False,1445723862,False,,,,,203.0,0.0049261083743842365,0.059113300492610835,0.014778325123152709,0.3251231527093596,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	177	10392	10380	54214	10142	10957	102,,BFE4143A9D8DF47DD7B1F6FE6CDE703E,,,,Quote,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306948,A353A2711E02203BED533BF572010166,119332,1622,False,1433712662,19498A4A405AB3626B1ED8F084F9078F,218,206,False,1542568616,False,,,,,949.0,0.002107481559536354,0.09378292939936776,0.002107481559536354,0.3782929399367755,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	56898	137	45844	92710	10908	15938	11210	131	107	177	16938	112	188	10529	169	40564	22277	94650	107	117	30181	10944	112	188	54399	10588	102,,A40746A509E7C59D1AB69D8262AEA158,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581304769,10949AAA098551E834A5032B924D7EDB,1416,180,False,1548384577,2F8791D5AE98C122E3219D467D15CF96,8,82,False,1570633392,False,,,,,63.0,0.0,0.3492063492063492,0.015873015873015872,0.8253968253968254,5.0,0.0,0.0,0.0,0.4,0,0,0,0,1
101	26842	21997	10124	10380	19118	119	10882	169	10879	10162	11951	10894	12820	10347	11850	117	100	21528	10114	12253	37836	136	100	11059	11951	10894	18939	10341	11345	119	146	10392	10380	71841	10162	10108	18939	16357	119	102,,C0E21C8BBABD18CA65E1E8AEC852C90F,,,,TopLevel,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306387,2DD95AA66BEDC8BD85D7515A62516959,172,157,False,1479416102,902CF896409F164DB1C245B24E8539D8,100,86,False,1375882968,True,,,,,,,,,,2.0,0.0,0.0,0.0,0.5,0,0,0,0,1
101	10747	10124	31237	193	100	10435	15329	10105	11135	65038	10113	20399	102,,35A0F56B5BB8C3A8353890DDED95A1C1,,,,Quote,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305690,4244B721E63AC8695CECC1243C22A4B3,10978,1835,False,1333116600,AAB013E038C1BB31E599DB6CC426B573,356,310,False,1350818877,False,,,,,183.0,0.0,0.06557377049180327,0.01092896174863388,0.2622950819672132,6.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0,0,0,0,5
101	56898	137	41163	32631	11130	14084	91147	10929	131	146	11250	10112	10114	60041	69838	10473	119	119	119	14120	131	120	120	188	119	11170	120	162	10874	13966	11011	10575	10162	11369	19951	10858	102,,5B778F7A54093D44BDD2F685893D202E,Photo,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306975,5B3E403101009641F54679F94F05F6CF,865,502,False,1177772163,D3B12FCA68C097A873E18A700CA7D7C8,132,871,False,1334779636,False,,,,1581307511.0,33.0,0.030303030303030307,0.18181818181818185,0.030303030303030307,0.6363636363636364,10.0,0.0,0.0,0.0,0.7,0,1,0,0,6
101	56898	137	23292	32295	54055	11305	10884	131	23329	61660	10908	14204	117	10105	33837	11357	28919	19528	10105	12286	10111	11948	16080	12356	38106	10114	31214	10136	17587	10146	10105	56108	30511	100	102,,87624C73B322A5CD53972AF22BE6208B,,,,Retweet,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581305437,86E42D0072E9C68FD49FA39A5EB9B091,2230,1005,False,1238254666,BF24B1161E297DA25A6F03A6D9669133,1338,556,False,1236098654,True,,,,1581315903.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101	16423	16081	102,,A148D57C126BD6096658A0B8EC387BC4,,,,Quote,D3164C7FBCF2565DDF915B1B3AEFB1DC,1581306528,5306C219C2EA9DC844CE19F3EC279279,1215,806,False,1506711734,3F481740F80E4CCDCF9351F52F6FC928,103,124,False,1364681960,True,,,,1581352790.0,5.0,0.0,0.0,0.0,0.4,6.0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,2
